type_cible,id_cible,rank_initial,pagerank_initial,type_attaque,nb_attaquants,pagerank_apres,augmentation,ratio,iterations
forte,7,1,0.104366443985236,complet,1,0.104624552038206,0.000258108052969,1.002473,118
forte,7,1,0.104366443985236,complet,2,0.104760198247977,0.000393754262740,1.003773,118
forte,7,1,0.104366443985236,complet,5,0.104779143664362,0.000412699679125,1.003954,118
forte,7,1,0.104366443985236,complet,10,0.104269801808832,-0.000096642176405,0.999074,118
forte,7,1,0.104366443985236,complet,20,0.102686801319711,-0.001679642665525,0.983906,118
forte,7,1,0.104366443985236,complet,50,0.097422718032507,-0.006943725952730,0.933468,123
forte,7,1,0.104366443985236,complet,100,0.089429224651321,-0.014937219333915,0.856877,128
forte,7,1,0.104366443985236,complet,200,0.076711651501430,-0.027654792483806,0.735022,131
forte,7,1,0.104366443985236,anneau,1,0.109091915493996,0.004725471508760,1.045278,118
forte,7,1,0.104366443985236,anneau,2,0.107432981139164,0.003066537153927,1.029382,118
forte,7,1,0.104366443985236,anneau,5,0.103824564916630,-0.000541879068606,0.994808,118
forte,7,1,0.104366443985236,anneau,10,0.100373011012893,-0.003993432972343,0.961736,118
forte,7,1,0.104366443985236,anneau,20,0.096989302149949,-0.007377141835287,0.929315,118
forte,7,1,0.104366443985236,anneau,50,0.091372665090503,-0.012993778894734,0.875498,128
forte,7,1,0.104366443985236,anneau,100,0.083755987777144,-0.020610456208093,0.802518,140
forte,7,1,0.104366443985236,anneau,200,0.071790846085785,-0.032575597899452,0.687873,152
forte,7,1,0.104366443985236,isoles,1,0.104624552038206,0.000258108052969,1.002473,118
forte,7,1,0.104366443985236,isoles,2,0.104881631772239,0.000515187787003,1.004936,118
forte,7,1,0.104366443985236,isoles,5,0.105646762148976,0.001280318163740,1.012268,118
forte,7,1,0.104366443985236,isoles,10,0.106901976034995,0.002535532049759,1.024295,118
forte,7,1,0.104366443985236,isoles,20,0.109339987621302,0.004973543636065,1.047655,118
forte,7,1,0.104366443985236,isoles,50,0.116122092579572,0.011755648594336,1.112638,118
forte,7,1,0.104366443985236,isoles,100,0.125918466408178,0.021552022422941,1.206503,117
forte,7,1,0.104366443985236,isoles,200,0.141312768138852,0.036946324153616,1.354006,116
moyenne,14,251,0.000647217385853,complet,1,0.000900982441212,0.000253765055359,1.392086,118
moyenne,14,251,0.000647217385853,complet,2,0.001087332439125,0.000440115053273,1.680011,118
moyenne,14,251,0.000647217385853,complet,5,0.001431548835751,0.000784331449898,2.211852,118
moyenne,14,251,0.000647217385853,complet,10,0.001700722177376,0.001053504791524,2.627745,118
