k,fort_isoles,fort_complet,fort_anneau,med_isoles,med_complet,med_anneau,faible_isoles,faible_complet,faible_anneau,fort_gain_isoles,fort_gain_complet,fort_gain_anneau,med_gain_isoles,med_gain_complet,med_gain_anneau,faible_gain_isoles,faible_gain_complet,faible_gain_anneau
1,0.0031037464,0.0031037464,0.0040501873,0.0008998478,0.0008998478,0.0011849892,0.0005538922,0.0005538922,0.0008671502,1.094707,1.094707,1.428521,1.392779,1.392779,1.834119,1.846307,1.846307,2.890501
2,0.0033711923,0.0032998110,0.0041355911,0.0011526035,0.0010861996,0.0014007704,0.0008067729,0.0007405162,0.0011092996,1.189036,1.163860,1.458644,1.783992,1.681213,2.168103,2.689243,2.468387,3.697665
3,0.0036375748,0.0034485164,0.0041998518,0.0014043543,0.0012284789,0.0015680382,0.0010586481,0.0008831626,0.0012859134,1.282991,1.216309,1.481309,2.173650,1.901432,2.426999,3.528827,2.943875,4.286378
4,0.0039029002,0.0035645716,0.0042486630,0.0016551060,0.0013403690,0.0016995510,0.0013095238,0.0009954844,0.0014184459,1.376572,1.257242,1.498525,2.561762,2.074614,2.630554,4.365079,3.318281,4.728153
5,0.0041671748,0.0036571697,0.0042858936,0.0019048647,0.0014304220,0.0018040716,0.0015594059,0.0010860149,0.0015200050,1.469783,1.289902,1.511656,2.948337,2.213998,2.792330,5.198020,3.620050,5.066683
6,0.0044304048,0.0037323517,0.0043142635,0.0021536362,0.0015042579,0.0018878156,0.0018083004,0.0011603615,0.0015990474,1.562626,1.316419,1.521662,3.333384,2.328281,2.921949,6.027668,3.867872,5.330158
7,0.0046925965,0.0037942510,0.0043357410,0.0024014263,0.0015657219,0.0019553133,0.0020562130,0.0012223610,0.0016612847,1.655102,1.338251,1.529237,3.716912,2.423414,3.026421,6.854043,4.074537,5.537616
8,0.0049537559,0.0038457912,0.0043517791,0.0026482409,0.0016175339,0.0020099357,0.0023031496,0.0012747272,0.0017106812,1.747214,1.356430,1.534894,4.098930,2.503608,3.110965,7.677165,4.249091,5.702271
9,0.0052138892,0.0038890985,0.0043634875,0.0028940857,0.0016616717,0.0020542550,0.0025491159,0.0013194337,0.0017501477,1.838965,1.371704,1.539024,4.479447,2.571925,3.179563,8.497053,4.398112,5.833826
10,0.0054730023,0.0039257559,0.0043717068,0.0031389663,0.0016996085,0.0020902382,0.0027941176,0.0013579501,0.0017817503,1.930355,1.384634,1.541923,4.858472,2.630643,3.235257,9.313725,4.526500,5.939168
11,0.0057311012,0.0039569667,0.0043770842,0.0033828886,0.0017324634,0.0021194595,0.0030381605,0.0013913934,0.0018071648,2.021388,1.395642,1.543819,5.236013,2.681496,3.280486,10.127202,4.637978,6.023883
12,0.0059881920,0.0039836615,0.0043801757,0.0036258580,0.0017611023,0.0021431001,0.0032812500,0.0014206276,0.0018274840,2.112065,1.405057,1.544910,5.612080,2.725823,3.317076,10.937500,4.735425,6.091613
13,0.0062442805,0.0040065715,0.0043813548,0.0038678802,0.0017862056,0.0021621711,0.0035233918,0.0014463313,0.0018437409,2.202389,1.413138,1.545326,5.986680,2.764678,3.346594,11.744639,4.821104,6.145803
14,0.0064993725,0.0040262792,0.0043809673,0.0041089606,0.0018083152,0.0021774614,0.0037645914,0.0014690454,0.0018566768,2.292361,1.420089,1.545189,6.359823,2.798899,3.370261,12.548638,4.896818,6.188923
15,0.0067534739,0.0040432541,0.0043792834,0.0043491049,0.0018278680,0.0021896071,0.0040048544,0.0014892058,0.0018668835,2.381984,1.426076,1.544595,6.731516,2.829162,3.389060,13.349515,4.964019,6.222945
16,0.0070065903,0.0040578793,0.0043765968,0.0045883183,0.0018452177,0.0021991827,0.0042441860,0.0015071656,0.0018748982,2.471259,1.431234,1.543647,7.101769,2.856016,3.403881,14.147287,5.023885,6.249661
17,0.0072587276,0.0040704700,0.0043729681,0.0048266063,0.0018606627,0.0022065257,0.0044825919,0.0015232223,0.0018809619,2.560189,1.435675,1.542368,7.470590,2.879922,3.415246,14.941973,5.077408,6.269873
18,0.0075098914,0.0040812881,0.0043686041,0.0050639743,0.0018744443,0.0022120490,0.0047200772,0.0015376169,0.0018854835,2.648776,1.439491,1.540828,7.837987,2.901253,3.423795,15.733591,5.125390,6.284945
19,0.0077600874,0.0040905533,0.0043636275,0.0053004276,0.0018867670,0.0022160465,0.0049566474,0.0015505533,0.0018887180,2.737021,1.442758,1.539073,8.203968,2.920326,3.429982,16.522158,5.168511,6.295727
20,0.0080093210,0.0040984507,0.0043581415,0.0055359715,0.0018978031,0.0022187639,0.0051923077,0.0015622034,0.0018908766,2.824927,1.445544,1.537138,8.568541,2.937407,3.434188,17.307692,5.207345,6.302922
21,0.0082575979,0.0041051377,0.0043522321,0.0057706111,0.0019076992,0.0022204069,0.0054270633,0.0015727136,0.0018921345,2.912496,1.447902,1.535054,8.931715,2.952724,3.436731,18.090211,5.242379,6.307115
22,0.0085049235,0.0041107491,0.0043459606,0.0060043518,0.0019165805,0.0022211411,0.0056609195,0.0015822089,0.0018926375,2.999729,1.449882,1.532842,9.293497,2.966471,3.437868,18.869732,5.274030,6.308792
23,0.0087513033,0.0041154006,0.0043394068,0.0062371986,0.0019245549,0.0022211748,0.0058938815,0.0015907969,0.0018925073,3.086628,1.451522,1.530530,9.653896,2.978814,3.437920,19.646272,5.302656,6.308358
24,0.0089967428,0.0041191925,0.0043327137,0.0064691567,0.0019317158,0.0022205658,0.0061259542,0.0015985707,0.0018919868,3.173196,1.452860,1.528170,10.012919,2.989897,3.436977,20.419847,5.328569,6.306623
25,0.0092412472,0.0041222118,0.0043257074,0.0067002311,0.0019381442,0.0022193312,0.0063571429,0.0016056112,0.0018908399,3.259434,1.453925,1.525699,10.370574,2.999847,3.435067,21.190476,5.352037,6.302800
26,0.0094848220,0.0041245347,0.0043185408,0.0069304269,0.0019439110,0.0022176530,0.0065874525,0.0016119892,0.0018893295,3.345344,1.454744,1.523171,10.726870,3.008773,3.432469,21.958175,5.373297,6.297765
27,0.0097274724,0.0041262279,0.0043112429,0.0071597492,0.0019490783,0.0022156007,0.0068168880,0.0016177667,0.0018875127,3.430928,1.455341,1.520597,11.081813,3.016771,3.429292,22.722960,5.392556,6.291709
28,0.0099692036,0.0041273502,0.0043038380,0.0073882027,0.0019537009,0.0022132334,0.0070454545,0.0016229984,0.0018854381,3.516188,1.455737,1.517985,11.435412,3.023926,3.425628,23.484848,5.409995,6.284794
29,0.0102100210,0.0041279535,0.0042963469,0.0076157926,0.0019578273,0.0022106013,0.0072731569,0.0016277326,0.0018831467,3.601125,1.455950,1.515343,11.787675,3.030312,3.421554,24.243856,5.425775,6.277156
30,0.0104499296,0.0041280841,0.0042887872,0.0078425236,0.0019615004,0.0022077468,0.0075000000,0.0016320122,0.0018806734,3.685742,1.455996,1.512677,12.138607,3.035998,3.417136,25.000000,5.440041,6.268911
31,0.0106889346,0.0041277784,0.0042811736,0.0080684006,0.0019647586,0.0022047059,0.0077259887,0.0016358755,0.0018780478,3.770040,1.455888,1.509991,12.488218,3.041041,3.412430,25.753296,5.452918,6.260159
32,0.0109270410,0.0041270823,0.0042735189,0.0082934285,0.0019676361,0.0022015093,0.0079511278,0.0016393567,0.0018752949,3.854022,1.455642,1.507291,12.836515,3.045494,3.407482,26.503759,5.464522,6.250983
33,0.0111642540,0.0041260241,0.0042658337,0.0085176120,0.0019701635,0.0021981828,0.0081754221,0.0016424862,0.0018724359,3.937688,1.455269,1.504581,13.183505,3.049406,3.402333,27.251407,5.474954,6.241453
34,0.0114005786,0.0041246335,0.0042581337,0.0087409559,0.0019723685,0.0021947484,0.0083988764,0.0016452918,0.0018694889,4.021041,1.454779,1.501865,13.529195,3.052819,3.397017,27.996255,5.484306,6.231630
35,0.0116360197,0.0041229369,0.0042504134,0.0089634648,0.0019742758,0.0021912248,0.0086214953,0.0016477981,0.0018664692,4.104082,1.454180,1.499142,13.873593,3.055771,3.391564,28.738318,5.492660,6.221564
36,0.0118705823,0.0041209586,0.0042426858,0.0091851435,0.0019759081,0.0021876277,0.0088432836,0.0016500276,0.0018633897,4.186813,1.453483,1.496416,14.216706,3.058298,3.385996,29.477612,5.500092,6.211299
37,0.0121042713,0.0041187203,0.0042349560,0.0094059965,0.0019772855,0.0021839705,0.0090642458,0.0016520007,0.0018602614,4.269237,1.452693,1.493690,14.558541,3.060430,3.380335,30.214153,5.506669,6.200871
38,0.0123370916,0.0041162418,0.0042272288,0.0096260286,0.0019784266,0.0021802645,0.0092843866,0.0016537309,0.0018570935,4.351354,1.451819,1.490965,14.899105,3.062196,3.374599,30.947955,5.512436,6.190312
39,0.0125690480,0.0041135411,0.0042195076,0.0098452442,0.0019793433,0.0021765195,0.0095037106,0.0016552447,0.0018538940,4.433166,1.450866,1.488241,15.238405,3.063615,3.368803,31.679035,5.517482,6.179647
