fichier,n,m,alpha,k,type_cible,page_cible,rank_initial,pagerank_initial,type_attaque,pagerank_apres,augmentation,ratio,iterations
Petites matrices\G8.txt,8,12,0.850000,1,forte,4,1,0.183908876991854,isoles,0.190333322264611,0.006424445272757,1.034933,96
Petites matrices\G8.txt,8,12,0.850000,1,forte,4,1,0.183908876991854,complet,0.190333322264611,0.006424445272757,1.034933,96
Petites matrices\G8.txt,8,12,0.850000,1,forte,4,1,0.183908876991854,anneau,0.226038713314788,0.042129836322934,1.229080,63
Petites matrices\G8.txt,8,12,0.850000,1,moyenne,3,5,0.126937435104545,isoles,0.134699923396204,0.007762488291659,1.061152,94
Petites matrices\G8.txt,8,12,0.850000,1,moyenne,3,5,0.126937435104545,complet,0.134699923396204,0.007762488291659,1.061152,94
Petites matrices\G8.txt,8,12,0.850000,1,moyenne,3,5,0.126937435104545,anneau,0.188611894773864,0.061674459669319,1.485865,64
Petites matrices\G8.txt,8,12,0.850000,1,faible,8,8,0.076012057143725,isoles,0.084870731756649,0.008858674612924,1.116543,95
Petites matrices\G8.txt,8,12,0.850000,1,faible,8,8,0.076012057143725,complet,0.084870731756649,0.008858674612924,1.116543,95
Petites matrices\G8.txt,8,12,0.850000,1,faible,8,8,0.076012057143725,anneau,0.126770762815962,0.050758705672236,1.667772,73
Petites matrices\G8.txt,8,12,0.850000,2,forte,4,1,0.183908876991854,isoles,0.195472878500548,0.011564001508694,1.062879,98
Petites matrices\G8.txt,8,12,0.850000,2,forte,4,1,0.183908876991854,complet,0.189166907589720,0.005258030597866,1.028590,93
Petites matrices\G8.txt,8,12,0.850000,2,forte,4,1,0.183908876991854,anneau,0.210698462582289,0.026789585590435,1.145668,100
Petites matrices\G8.txt,8,12,0.850000,2,moyenne,3,5,0.126937435104545,isoles,0.140909914012897,0.013972478908352,1.110074,98
Petites matrices\G8.txt,8,12,0.850000,2,moyenne,3,5,0.126937435104545,complet,0.135776005409241,0.008838570304696,1.069629,93
Petites matrices\G8.txt,8,12,0.850000,2,moyenne,3,5,0.126937435104545,anneau,0.172921969673752,0.045984534569208,1.362261,104
Petites matrices\G8.txt,8,12,0.850000,2,faible,8,8,0.076012057143725,isoles,0.091957671451830,0.015945614308105,1.209777,98
Petites matrices\G8.txt,8,12,0.850000,2,faible,8,8,0.076012057143725,complet,0.087894885480543,0.011882828336818,1.156328,93
Petites matrices\G8.txt,8,12,0.850000,2,faible,8,8,0.076012057143725,anneau,0.121822816926146,0.045810759782420,1.602678,98
