fichier,n,m,alpha,k,type_cible,page_cible,rank_initial,pagerank_initial,type_attaque,pagerank_apres,augmentation,ratio,iterations
Petites matrices\courtois.txt,8,41,0.850000,1,forte,7,1,0.184932124222453,isoles,0.228653387444749,0.043721263222296,1.236418,97
Petites matrices\courtois.txt,8,41,0.850000,1,forte,7,1,0.184932124222453,complet,0.228653387444749,0.043721263222296,1.236418,97
Petites matrices\courtois.txt,8,41,0.850000,1,forte,7,1,0.184932124222453,anneau,0.220497447655057,0.035565323432604,1.192316,97
Petites matrices\courtois.txt,8,41,0.850000,1,moyenne,5,5,0.109195788042650,isoles,0.147366779017931,0.038170990975281,1.349565,99
Petites matrices\courtois.txt,8,41,0.850000,1,moyenne,5,5,0.109195788042650,complet,0.147366779017931,0.038170990975281,1.349565,99
Petites matrices\courtois.txt,8,41,0.850000,1,moyenne,5,5,0.109195788042650,anneau,0.147727140336786,0.038531352294136,1.352865,99
Petites matrices\courtois.txt,8,41,0.850000,1,faible,3,8,0.076406653982794,isoles,0.096480060237436,0.020073406254643,1.262718,98
Petites matrices\courtois.txt,8,41,0.850000,1,faible,3,8,0.076406653982794,complet,0.096480060237436,0.020073406254643,1.262718,98
Petites matrices\courtois.txt,8,41,0.850000,1,faible,3,8,0.076406653982794,anneau,0.104124547131291,0.027717893148497,1.362768,97
Petites matrices\courtois.txt,8,41,0.850000,2,forte,7,1,0.184932124222453,isoles,0.263630398023978,0.078698273801525,1.425552,96
Petites matrices\courtois.txt,8,41,0.850000,2,forte,7,1,0.184932124222453,complet,0.248541089506030,0.063608965283578,1.343958,96
Petites matrices\courtois.txt,8,41,0.850000,2,forte,7,1,0.184932124222453,anneau,0.230263790615904,0.045331666393451,1.245126,96
Petites matrices\courtois.txt,8,41,0.850000,2,moyenne,5,5,0.109195788042650,isoles,0.177903571779427,0.068707783736777,1.629216,100
Petites matrices\courtois.txt,8,41,0.850000,2,moyenne,5,5,0.109195788042650,complet,0.166093101180659,0.056897313138009,1.521058,100
Petites matrices\courtois.txt,8,41,0.850000,2,moyenne,5,5,0.109195788042650,anneau,0.161168754068029,0.051972966025379,1.475961,99
Petites matrices\courtois.txt,8,41,0.850000,2,faible,3,8,0.076406653982794,isoles,0.112538785247852,0.036132131265059,1.472892,97
Petites matrices\courtois.txt,8,41,0.850000,2,faible,3,8,0.076406653982794,complet,0.105832681504113,0.029426027521319,1.385124,97
Petites matrices\courtois.txt,8,41,0.850000,2,faible,3,8,0.076406653982794,anneau,0.112858411673871,0.036451757691078,1.477076,97
