fichier,n,m,alpha,k,type_cible,page_cible,rank_initial,pagerank_initial,type_attaque,pagerank_apres,augmentation,ratio,iterations
Harvard500.txt,500,2636,0.850000,1,forte,7,1,0.103639770584333,isoles,0.103898502917567,0.000258732333235,1.002496,94
Harvard500.txt,500,2636,0.850000,1,forte,7,1,0.103639770584333,complet,0.103898502917567,0.000258732333235,1.002496,94
Harvard500.txt,500,2636,0.850000,1,forte,7,1,0.103639770584333,anneau,0.108343345619382,0.004703575035050,1.045384,94
Harvard500.txt,500,2636,0.850000,1,moyenne,14,251,0.000646080989108,isoles,0.000899847760390,0.000253766771282,1.392779,94
Harvard500.txt,500,2636,0.850000,1,moyenne,14,251,0.000646080989108,complet,0.000899847760390,0.000253766771282,1.392779,94
Harvard500.txt,500,2636,0.850000,1,moyenne,14,251,0.000646080989108,anneau,0.001184989152837,0.000538908163729,1.834119,94
Harvard500.txt,500,2636,0.850000,1,faible,494,500,0.000300000000000,isoles,0.000553892215569,0.000253892215569,1.846307,94
Harvard500.txt,500,2636,0.850000,1,faible,494,500,0.000300000000000,complet,0.000553892215569,0.000253892215569,1.846307,94
Harvard500.txt,500,2636,0.850000,1,faible,494,500,0.000300000000000,anneau,0.000867150239638,0.000567150239638,2.890501,94
Harvard500.txt,500,2636,0.850000,2,forte,7,1,0.103639770584333,isoles,0.104156204444694,0.000516433860361,1.004983,94
Harvard500.txt,500,2636,0.850000,2,forte,7,1,0.103639770584333,complet,0.104034986012586,0.000395215428254,1.003813,94
Harvard500.txt,500,2636,0.850000,2,forte,7,1,0.103639770584333,anneau,0.106700955919097,0.003061185334765,1.029537,94
Harvard500.txt,500,2636,0.850000,2,moyenne,14,251,0.000646080989108,isoles,0.001152603508678,0.000506522519571,1.783992,94
Harvard500.txt,500,2636,0.850000,2,moyenne,14,251,0.000646080989108,complet,0.001086199611189,0.000440118622082,1.681213,94
Harvard500.txt,500,2636,0.850000,2,moyenne,14,251,0.000646080989108,anneau,0.001400770394884,0.000754689405776,2.168103,94
Harvard500.txt,500,2636,0.850000,2,faible,494,500,0.000300000000000,isoles,0.000806772908367,0.000506772908367,2.689243,94
Harvard500.txt,500,2636,0.850000,2,faible,494,500,0.000300000000000,complet,0.000740516196085,0.000440516196085,2.468387,94
Harvard500.txt,500,2636,0.850000,2,faible,494,500,0.000300000000000,anneau,0.001109299610434,0.000809299610434,3.697665,94
Harvard500.txt,500,2636,0.850000,3,forte,7,1,0.103639770584333,isoles,0.104412881313660,0.000773110729327,1.007460,94
Harvard500.txt,500,2636,0.850000,3,forte,7,1,0.103639770584333,complet,0.104091825796661,0.000452055212329,1.004362,94
Harvard500.txt,500,2636,0.850000,3,forte,7,1,0.103639770584333,anneau,0.105316038836592,0.001676268252260,1.016174,94
Harvard500.txt,500,2636,0.850000,3,moyenne,14,251,0.000646080989108,isoles,0.001404354263932,0.000758273274824,2.173650,94
Harvard500.txt,500,2636,0.850000,3,moyenne,14,251,0.000646080989108,complet,0.001228478885340,0.000582397896233,1.901432,94
Harvard500.txt,500,2636,0.850000,3,moyenne,14,251,0.000646080989108,anneau,0.001568038118433,0.000921957129326,2.426999,94
Harvard500.txt,500,2636,0.850000,3,faible,494,500,0.000300000000000,isoles,0.001058648111332,0.000758648111332,3.528827,94
Harvard500.txt,500,2636,0.850000,3,faible,494,500,0.000300000000000,complet,0.000883162563083,0.000583162563083,2.943875,94
Harvard500.txt,500,2636,0.850000,3,faible,494,500,0.000300000000000,anneau,0.001285913130943,0.000985913130943,4.286377,94
Harvard500.txt,500,2636,0.850000,4,forte,7,1,0.103639770584333,isoles,0.104668539623623,0.001028769039290,1.009926,94
Harvard500.txt,500,2636,0.850000,4,forte,7,1,0.103639770584333,complet,0.104093996102647,0.000454225518314,1.004383,94
Harvard500.txt,500,2636,0.850000,4,forte,7,1,0.103639770584333,anneau,0.104137997972943,0.000498227388611,1.004807,94
Harvard500.txt,500,2636,0.850000,4,moyenne,14,251,0.000646080989108,isoles,0.001655106008253,0.001009025019145,2.561762,94
Harvard500.txt,500,2636,0.850000,4,moyenne,14,251,0.000646080989108,complet,0.001340368980170,0.000694287991063,2.074614,94
Harvard500.txt,500,2636,0.850000,4,moyenne,14,251,0.000646080989108,anneau,0.001699550907852,0.001053469918744,2.630554,94
Harvard500.txt,500,2636,0.850000,4,faible,494,500,0.000300000000000,isoles,0.001309523809524,0.001009523809524,4.365079,94
Harvard500.txt,500,2636,0.850000,4,faible,494,500,0.000300000000000,complet,0.000995484400657,0.000695484400657,3.318281,94
Harvard500.txt,500,2636,0.850000,4,faible,494,500,0.000300000000000,anneau,0.001418445117703,0.001118445117703,4.728150,94
Harvard500.txt,500,2636,0.850000,5,forte,7,1,0.103639770584333,isoles,0.104923185425427,0.001283414841095,1.012383,94
Harvard500.txt,500,2636,0.850000,5,forte,7,1,0.103639770584333,complet,0.104057103731683,0.000417333147351,1.004027,94
Harvard500.txt,500,2636,0.850000,5,forte,7,1,0.103639770584333,anneau,0.103127643923272,-0.000512126661061,0.995059,94
Harvard500.txt,500,2636,0.850000,5,moyenne,14,251,0.000646080989108,isoles,0.001904864676358,0.001258783687250,2.948337,94
Harvard500.txt,500,2636,0.850000,5,moyenne,14,251,0.000646080989108,complet,0.001430421978085,0.000784340988978,2.213998,94
Harvard500.txt,500,2636,0.850000,5,moyenne,14,251,0.000646080989108,anneau,0.001804071235561,0.001157990246453,2.792330,94
Harvard500.txt,500,2636,0.850000,5,faible,494,500,0.000300000000000,isoles,0.001559405940594,0.001259405940594,5.198020,94
Harvard500.txt,500,2636,0.850000,5,faible,494,500,0.000300000000000,complet,0.001086014851485,0.000786014851485,3.620050,94
Harvard500.txt,500,2636,0.850000,5,faible,494,500,0.000300000000000,anneau,0.001520001143263,0.001220001143263,5.066670,94
Harvard500.txt,500,2636,0.850000,6,forte,7,1,0.103639770584333,isoles,0.105176824722086,0.001537054137754,1.014831,94
Harvard500.txt,500,2636,0.850000,6,forte,7,1,0.103639770584333,complet,0.103991402912022,0.000351632327690,1.003393,94
Harvard500.txt,500,2636,0.850000,6,forte,7,1,0.103639770584333,anneau,0.102254217621497,-0.001385552962836,0.986631,94
Harvard500.txt,500,2636,0.850000,6,moyenne,14,251,0.000646080989108,isoles,0.002153636156051,0.001507555166944,3.333384,94
Harvard500.txt,500,2636,0.850000,6,moyenne,14,251,0.000646080989108,complet,0.001504257781906,0.000858176792798,2.328281,94
Harvard500.txt,500,2636,0.850000,6,moyenne,14,251,0.000646080989108,anneau,0.001887814865685,0.001241733876578,2.921948,94
Harvard500.txt,500,2636,0.850000,6,faible,494,500,0.000300000000000,isoles,0.001808300395257,0.001508300395257,6.027668,94
Harvard500.txt,500,2636,0.850000,6,faible,494,500,0.000300000000000,complet,0.001160361377753,0.000860361377753,3.867871,94
Harvard500.txt,500,2636,0.850000,6,faible,494,500,0.000300000000000,anneau,0.001599040977418,0.001299040977418,5.330137,94
