fichier,n,m,alpha,k,type_cible,page_cible,rank_initial,pagerank_initial,type_attaque,pagerank_apres,augmentation,ratio,iterations,temps_sec
data/Harvard500.txt,500,2636,0.500000,1,forte,7,1,0.056366027506781,isoles,0.056816653073662,0.000450625566881,1.007995,19,0.0000
data/Harvard500.txt,500,2636,0.500000,1,forte,7,1,0.056366027506781,complet,0.056816653073662,0.000450625566881,1.007995,19,0.0010
data/Harvard500.txt,500,2636,0.500000,1,forte,7,1,0.056366027506781,anneau,0.057553392564868,0.001187365058087,1.021065,21,0.0000
data/Harvard500.txt,500,2636,0.500000,1,moyenne,162,251,0.001250000000000,isoles,0.001746506986028,0.000496506986028,1.397206,20,0.0000
data/Harvard500.txt,500,2636,0.500000,1,moyenne,162,251,0.001250000000000,complet,0.001746506986028,0.000496506986028,1.397206,20,0.0000
data/Harvard500.txt,500,2636,0.500000,1,moyenne,162,251,0.001250000000000,anneau,0.001996007985891,0.000746007985891,1.596806,19,0.0010
data/Harvard500.txt,500,2636,0.500000,1,faible,494,500,0.001000000000000,isoles,0.001497005988024,0.000497005988024,1.497006,19,0.0000
data/Harvard500.txt,500,2636,0.500000,1,faible,494,500,0.001000000000000,complet,0.001497005988024,0.000497005988024,1.497006,19,0.0000
data/Harvard500.txt,500,2636,0.500000,1,faible,494,500,0.001000000000000,anneau,0.001710863988438,0.000710863988438,1.710864,19,0.0000
data/Harvard500.txt,500,2636,0.500000,3,forte,7,1,0.056366027506781,isoles,0.057712528952361,0.001346501445579,1.023889,20,0.0000
data/Harvard500.txt,500,2636,0.500000,3,forte,7,1,0.056366027506781,complet,0.056871188686687,0.000505161179906,1.008962,20,0.0000
data/Harvard500.txt,500,2636,0.500000,3,forte,7,1,0.056366027506781,anneau,0.056737251102409,0.000371223595628,1.006586,21,0.0000
data/Harvard500.txt,500,2636,0.500000,3,moyenne,162,251,0.001250000000000,isoles,0.002733598409543,0.001483598409543,2.186879,21,0.0000
data/Harvard500.txt,500,2636,0.500000,3,moyenne,162,251,0.001250000000000,complet,0.001988071570648,0.000738071570648,1.590457,21,0.0000
data/Harvard500.txt,500,2636,0.500000,3,moyenne,162,251,0.001250000000000,anneau,0.002180465595208,0.000930465595208,1.744372,22,0.0010
data/Harvard500.txt,500,2636,0.500000,3,faible,494,500,0.001000000000000,isoles,0.002485089463221,0.001485089463221,2.485089,20,0.0000
data/Harvard500.txt,500,2636,0.500000,3,faible,494,500,0.001000000000000,complet,0.001739562624326,0.000739562624326,1.739563,21,0.0040
data/Harvard500.txt,500,2636,0.500000,3,faible,494,500,0.001000000000000,anneau,0.001923940231501,0.000923940231501,1.923940,22,0.0000
data/Harvard500.txt,500,2636,0.500000,5,forte,7,1,0.056366027506781,isoles,0.058601308781523,0.002235281274742,1.039657,21,0.0010
data/Harvard500.txt,500,2636,0.500000,5,forte,7,1,0.056366027506781,complet,0.056739068281335,0.000373040774553,1.006618,21,0.0000
data/Harvard500.txt,500,2636,0.500000,5,forte,7,1,0.056366027506781,anneau,0.056369499271533,0.000003471764752,1.000062,22,0.0000
